LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(32.11, 2.75, -42.03),(-0.16, -0.04, 0.99), (-32.04, 1.24, -39.76), (-0.09, -0.06, 0.99), (-31.99, 1.24, -39.76), (-0.09, -0.06, 0.99)
(32.32, 2.95, -42.46),(-0.13, -0.04, 0.99), (-31.81, 1.59, -40.48), (-0.08, -0.07, 0.99), (32.10, 2.95, -42.45), (-0.13, -0.04, 0.99)
(32.52, 3.20, -42.96),(-0.12, -0.03, 0.99), (-31.60, 1.68, -40.47), (-0.07, -0.07, 1.00), (28.26, 3.10, -42.79), (-0.12, -0.03, 0.99)
(33.38, 3.31, -43.57),(-0.01, -0.04, 1.00), (-30.59, 1.86, -41.05), (0.04, -0.07, 1.00), (-30.47, 1.86, -41.05), (0.04, -0.07, 1.00)
(33.49, 3.14, -43.27),(0.02, -0.05, 1.00), (-30.47, 1.70, -40.85), (0.06, -0.07, 1.00), (11.10, 2.63, -42.42), (0.03, -0.05, 1.00)
(33.53, 3.12, -43.21),(0.01, -0.04, 1.00), (-30.45, 1.73, -40.98), (0.06, -0.06, 1.00), (-21.40, 1.93, -41.30), (0.05, -0.06, 1.00)
(33.53, 3.13, -43.19),(0.02, -0.04, 1.00), (-30.46, 1.73, -40.94), (0.06, -0.07, 1.00), (28.24, 3.02, -43.00), (0.02, -0.04, 1.00)
(33.45, 3.11, -43.00),(0.00, -0.03, 1.00), (-30.57, 1.81, -40.99), (0.06, -0.07, 1.00), (23.48, 2.91, -42.69), (0.01, -0.04, 1.00)
(33.37, 3.15, -43.15),(0.01, -0.02, 1.00), (-30.66, 1.76, -40.85), (0.06, -0.07, 1.00), (9.87, 2.64, -42.31), (0.03, -0.04, 1.00)
(33.31, 3.07, -42.83),(-0.01, -0.03, 1.00), (-30.73, 1.75, -40.81), (0.05, -0.07, 1.00), (-9.40, 2.19, -41.48), (0.03, -0.05, 1.00)
(33.25, 3.20, -43.21),(-0.01, -0.03, 1.00), (-30.78, 1.75, -40.74), (0.04, -0.06, 1.00), (-4.70, 2.34, -41.75), (0.02, -0.05, 1.00)
(33.20, 3.06, -42.77),(-0.02, -0.02, 1.00), (-30.84, 1.76, -40.76), (0.04, -0.06, 1.00), (-28.64, 1.81, -40.83), (0.03, -0.06, 1.00)
(33.17, 3.09, -42.92),(-0.02, -0.02, 1.00), (-30.88, 1.73, -40.79), (0.04, -0.05, 1.00), (-26.90, 1.81, -40.92), (0.03, -0.05, 1.00)
(33.15, 3.18, -43.13),(-0.03, -0.02, 1.00), (-30.91, 1.67, -40.57), (0.02, -0.04, 1.00), (-10.56, 2.15, -41.38), (0.01, -0.03, 1.00)
